ID,Name,Drug,SMILES
0,clobazam,DB00734,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
1,vinorelbine,DB00987,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
2,carvedilol,DB00812,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
3,benazepril,DB00211,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
4,leflunomide,DB00915,NC12CC3CC(CC(C3)C1)C2
5,lamotrigine,DB00877,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
6,nefazodone,DB00627,O=C(O)c1cccnc1
7,trandolapril,DB00316,CC(=O)Nc1ccc(O)cc1
8,clopidogrel,DB00977,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
9,gemcitabine,DB00554,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
10,troglitazone,DB00661,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
11,pioglitazone,DB01142,CN(C)CCC=C1c2ccccc2COc2ccccc21
12,zafirlukast,DB00215,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
13,mycophenolate mofetil,DB01193,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
14,fluvastatin,DB01026,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
15,meloxicam,DB00440,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
16,docetaxel,DB01124,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
17,olanzapine,DB00437,Oc1ncnc2[nH]ncc12
18,candesartan,DB00468,C=C[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
19,telmisartan,DB00836,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
20,bosentan,DB00796,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
21,cerivastatin,DB01586,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
22,rosiglitazone,DB00140,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
23,fexofenadine,DB00755,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
24,montelukast,DB00802,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1
25,alitretinoin,DB01580,C=CCOc1ccccc1OCC(O)CNC(C)C
26,rofecoxib,DB00332,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2
27,desloratadine,DB00242,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
