ID,Disease
0,D102100
1,D102300
2,D102400
3,D102500
4,D103100
5,D103230
6,D103285
7,D103780
8,D104130
9,D104300
10,D104310
11,D106100
12,D106400
13,D107320
14,D107550
15,D107650
16,D109100
17,D109200
18,D109350
19,D109543
20,D109800
21,D110100
22,D113610
23,D113800
24,D114480
25,D114500
26,D114550
27,D114580
28,D115000
29,D115195
30,D115300
31,D115645
32,D119500
33,D121200
34,D121201
35,D124200
36,D125310
37,D125320
38,D125600
39,D125700
40,D125850
41,D125851
42,D125852
43,D125853
44,D126200
45,D127350
46,D127750
47,D128101
48,D131200
49,D131300
50,D131440
51,D132090
52,D132100
53,D132300
54,D133239
55,D133600
56,D133690
57,D134430
58,D134500
59,D134510
60,D134520
61,D134600
62,D134750
63,D135550
64,D136200
65,D137215
66,D137400
67,D137580
68,D137750
69,D137760
70,D137800
71,D138800
72,D140300
73,D140600
74,D140850
75,D143100
76,D143465
77,D143500
78,D143880
79,D143890
80,D144010
81,D144110
82,D144250
83,D144400
84,D144650
85,D144700
86,D145100
87,D145200
88,D145500
89,D145590
90,D145600
91,D145750
92,D146110
93,D146200
94,D146255
95,D146500
96,D146700
97,D146850
98,D147480
99,D147530
100,D147540
101,D148000
102,D148100
103,D150600
104,D151380
105,D151400
106,D151590
107,D152700
108,D153800
109,D153880
110,D154275
111,D154276
112,D155100
113,D155600
114,D155601
115,D156000
116,D156190
117,D157300
118,D157700
119,D157950
120,D158280
121,D160300
122,D160750
123,D161400
124,D161900
125,D164230
126,D165150
127,D165199
128,D165720
129,D166300
130,D166710
131,D166760
132,D167320
133,D167870
134,D168100
135,D168600
136,D168601
137,D170900
138,D171300
139,D173200
140,D174800
141,D175100
142,D175505
143,D176800
144,D176807
145,D178600
146,D179600
147,D181000
148,D181460
149,D181500
150,D182000
151,D182280
152,D182830
153,D184700
154,D187360
155,D187950
156,D188030
157,D188050
158,D188470
159,D188890
160,D189600
161,D189800
162,D190300
163,D190310
164,D190400
165,D191100
166,D191390
167,D191800
168,D192000
169,D192200
170,D193200
171,D193400
172,D194070
173,D194200
174,D200170
175,D202370
176,D202400
177,D203700
178,D205700
179,D206200
180,D208085
181,D208230
182,D208300
183,D208550
184,D208700
185,D208750
186,D208920
187,D209850
188,D210050
189,D211980
190,D212050
191,D212110
192,D212112
193,D212130
194,D212140
195,D212350
196,D215140
197,D215470
198,D217150
199,D217200
200,D218200
201,D218800
202,D219700
203,D219750
204,D219800
205,D220100
206,D220120
207,D222100
208,D223350
209,D225740
210,D225755
211,D226000
212,D226150
213,D227300
214,D230450
215,D230800
216,D230900
217,D231000
218,D231090
219,D231200
220,D231900
221,D233100
222,D233810
223,D234700
224,D236000
225,D237450
226,D237500
227,D238800
228,D239350
229,D240200
230,D240400
231,D241100
232,D241519
233,D242100
234,D243200
235,D246300
236,D246400
237,D246470
238,D247200
239,D247640
240,D248190
241,D249100
242,D250790
243,D252320
244,D254200
245,D254400
246,D254450
247,D254500
248,D254770
249,D254800
250,D255900
251,D256370
252,D256700
253,D257200
254,D257220
255,D258360
256,D259050
257,D259500
258,D259660
259,D260300
260,D260480
261,D260570
262,D260970
263,D261100
264,D261515
265,D263300
266,D263800
267,D264120
268,D264700
269,D265400
270,D266120
271,D266600
272,D267730
273,D267740
274,D268220
275,D268320
276,D270960
277,D273300
278,D273800
279,D275000
280,D276300
281,D277350
282,D277440
283,D277460
284,D277480
285,D277730
286,D277900
287,D278200
288,D300100
289,D300125
290,D300136
291,D300232
292,D300425
293,D300491
294,D300494
295,D300495
296,D300496
297,D303110
298,D304790
299,D304900
300,D305300
301,D307700
302,D308205
303,D308350
304,D308600
305,D310468
306,D311360
307,D312910
308,D540000
309,D556500
310,D600081
311,D600082
312,D600116
313,D600131
314,D600263
315,D600319
316,D600351
317,D600467
318,D600496
319,D600631
320,D600634
321,D600803
322,D600807
323,D600808
324,D601004
325,D601042
326,D601208
327,D601318
328,D601367
329,D601518
330,D601608
331,D601626
332,D601665
333,D601666
334,D601682
335,D601744
336,D601887
337,D601888
338,D601941
339,D601942
340,D602068
341,D602080
342,D602096
343,D602134
344,D602404
345,D602439
346,D602522
347,D603165
348,D603266
349,D603388
350,D604302
351,D604416
352,D604827
353,D605021
354,D605055
355,D605218
356,D605480
357,D605526
358,D605804
359,D605805
360,D605839
361,D605841
362,D605844
363,D606054
364,D606324
365,D606369
366,D606703
367,D606764
368,D606798
369,D606889
370,D607060
371,D607154
372,D607202
373,D607225
374,D607373
375,D607411
376,D607459
377,D607498
378,D607499
379,D607501
380,D607508
381,D607516
382,D607554
383,D607616
384,D607625
385,D607628
386,D607631
387,D607681
388,D607682
389,D607685
390,D607688
391,D607822
392,D607850
393,D608013
394,D608033
395,D608049
396,D608088
397,D608105
398,D608217
399,D608232
400,D608266
401,D608320
402,D608437
403,D608456
404,D608583
405,D608622
406,D608636
407,D608895
408,D608907
