ID,Disease
0,D018754
1,D002819
2,D011596
3,D008545
4,D010259
5,D007247
6,D009896
7,D001171
8,D020275
9,D007943
10,D001932
11,D005211
12,D012021
13,D020233
14,D019957
15,D009103
16,D010195
17,D006984
18,D005221
19,D012735
20,D018633
21,D003731
22,D013167
23,D009400
24,D007683
25,D016649
26,D046152
27,D001928
28,D017880
29,D009207
30,D006212
31,D010237
32,D014376
33,D010538
34,D019956
35,D020258
36,D014123
37,D006965
38,D007232
39,D008527
40,D051437
41,D011317
42,D001523
43,D001284
44,D004374
45,D011928
46,D002561
47,D002178
48,D003922
49,D010198
50,D007752
51,D006973
52,D011658
53,D006967
54,D000505
55,D013064
56,D022124
57,D013614
58,D001161
59,D009202
60,D006946
61,D015175
62,D003047
63,D017488
64,D003327
65,D014245
66,D007239
67,D017681
68,D000881
69,D020234
70,D010149
71,D055370
72,D015464
73,D012848
74,D020018
75,D020250
76,D002239
77,D007566
78,D007410
79,D001480
80,D006332
81,D012010
82,D012612
83,D006529
84,D011085
85,D019955
86,D009901
87,D004415
88,C538231
89,D011782
90,D003920
91,D020096
92,D007251
93,D006030
94,D014005
95,D002294
96,D006938
97,D013009
98,D007010
99,D001919
100,D000745
101,D019465
102,D001416
103,D008106
104,D020790
105,D001321
106,D004761
107,D014802
108,D009336
109,D009101
110,D009203
111,D000690
112,D005738
113,D002761
114,D002583
115,D015212
116,D009395
117,D006417
118,D014355
119,D006660
120,D004487
121,D005879
122,D048629
123,D013272
124,D011248
125,D010787
126,D002524
127,D000140
128,D010051
129,D017180
130,D005776
131,D013587
132,D064420
133,D005878
134,D052018
135,D001157
136,D010488
137,D003928
138,D047928
139,D014474
140,D009855
141,D006930
142,D012128
143,D007235
144,D000542
145,D029503
146,D000083242
147,D008224
148,D013344
149,D047508
150,D001749
151,D002544
152,D009771
153,D003680
154,D013771
155,D014201
156,D009120
157,D000306
158,D010190
159,D000741
160,D001201
161,D008064
162,D006977
163,D024741
164,D000647
165,D013262
166,D010391
167,D009410
168,D023341
169,D018901
170,D011693
171,D003329
172,D006943
173,D013921
174,D006689
175,D013981
176,D011655
177,D013375
178,D014927
179,D006954
180,D056486
181,D004172
182,D014511
183,D001049
184,D006099
185,D020520
186,D001606
187,D016889
188,D005334
189,D011087
190,D001649
191,D013736
192,D014012
193,D015267
194,D012514
195,D004893
196,D001847
197,D012798
198,D017119
199,D008881
200,D054138
201,D009080
