ID,Drug,SMILES
0,DB00734,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
1,DB00987,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
2,DB00812,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
3,DB00211,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
4,DB00915,NC12CC3CC(CC(C3)C1)C2
5,DB00877,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
6,DB00627,O=C(O)c1cccnc1
7,DB00316,CC(=O)Nc1ccc(O)cc1
8,DB00977,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
9,DB00554,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
10,DB00661,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
11,DB01142,CN(C)CCC=C1c2ccccc2COc2ccccc21
12,DB00215,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
13,DB01193,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
14,DB01026,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
15,DB00440,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
16,DB01124,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
17,DB00437,Oc1ncnc2[nH]ncc12
18,DB00468,C=C[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
19,DB00836,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
20,DB00796,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
21,DB01586,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
22,DB00140,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
23,DB00755,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
24,DB00802,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1
25,DB01580,C=CCOc1ccccc1OCC(O)CNC(C)C
26,DB00332,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2
27,DB00242,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
28,DB00741,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
29,DB00813,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
30,DB00927,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1
31,DB00295,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
32,DB00917,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
33,DB00519,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21
34,DB00349,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
35,DB00831,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
36,DB01327,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1
37,DB00819,CC(=O)Nc1nnc(S(N)(=O)=O)s1
38,DB00255,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
39,DB00501,CN/C(=N/C#N)NCCSCc1nc[nH]c1C
40,DB00959,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12
41,DB00712,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
42,DB01254,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
43,DB00533,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
